year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
2018,1,2.28,1.79,0.78,0.09,0.09,0.08,4.49,6.42,6.69,2.71,0.26,0.58,1.38,0.69,
2019,1,1.95,1.47,0.6,0.05,0.06,0.07,3.93,5.32,5.56,2.57,,0.63,1.29,0.56,2.6
2020,1,1.89,1.52,0.77,0.08,0.09,0.1,4.55,6.15,6.42,2.39,0.24,0.54,1.4,0.6,3.37
2021,1,1.76,1.03,0.46,-0.01,,0.04,3.11,4.53,5.37,1.67,0.16,0.72,1.02,0.39,2.11
2022,1,1.85,1.34,0.64,0.09,0.05,,3.89,5.2,5.79,2.48,0.24,0.62,1.3,0.6,2.86
2023,1,1.82,1.36,0.54,0.03,0.06,0.08,3.74,5.3,5.43,2.13,0.29,0.7,1.17,0.53,2.3
2017,1,1.51,1.13,0.52,-0.01,0.03,0.05,3.44,5.31,5.02,1.49,0.12,0.59,1.11,0.47,2.3
2018,1,1.71,1.44,0.61,0.03,0.05,0.05,3.69,5.42,5.49,2.19,0.2,0.63,1.13,0.51,2.6
2019,1,2.08,1.69,0.69,0.04,0.07,0.08,4.34,5.97,6.21,2.55,0.26,0.61,1.34,0.66,2.82
2020,1,1.78,1.68,0.75,0.09,0.08,0.08,4.07,5.7,6.83,2.19,0.36,0.56,1.3,0.64,
2021,1,2.0,1.24,0.68,0.03,0.06,0.08,4.15,5.91,6.15,2.35,0.28,0.59,1.22,0.47,2.91
2022,1,1.68,1.3,0.62,0.08,0.04,0.09,4.05,,5.91,1.97,0.28,0.6,1.12,0.53,2.78
2023,1,1.89,1.24,0.61,0.06,0.06,0.06,3.32,5.19,5.71,1.5,0.1,0.68,1.24,0.51,2.68
2017,0,1.17,0.8,0.46,0.03,0.02,0.04,3.23,3.64,4.66,1.8,-0.01,0.68,1.0,0.47,1.75
2018,0,1.32,0.77,0.29,0.02,0.02,0.01,2.76,3.64,5.31,1.52,-0.01,0.79,0.88,0.36,1.56
2019,0,1.08,0.74,0.35,-0.03,-0.01,0.0,2.58,3.46,3.72,1.45,-0.06,0.83,0.87,0.41,1.81
2020,0,1.38,0.94,0.49,-0.03,0.05,0.02,2.94,3.86,4.83,1.49,0.15,0.75,0.92,0.38,1.72
2021,0,0.88,0.71,0.28,-0.03,0.0,-0.01,2.48,2.92,4.97,1.29,-0.08,0.78,0.71,0.28,1.27
2022,0,1.65,1.24,0.67,0.04,0.03,0.04,3.75,,5.7,1.97,0.23,0.66,1.05,0.5,3.01
2023,0,1.78,1.25,0.56,0.02,0.03,0.07,3.7,5.22,5.53,2.02,0.17,0.67,1.08,0.56,2.2
2017,1,2.33,1.71,0.73,0.14,0.1,0.08,4.65,6.36,7.06,2.61,0.44,0.52,1.26,0.65,3.75
2018,1,1.32,,0.44,0.03,0.03,0.04,3.21,4.44,5.01,1.63,0.09,0.71,0.86,0.43,1.83
2019,1,1.86,1.45,0.54,0.03,0.06,0.05,3.75,5.15,5.53,2.01,0.2,0.63,1.07,0.52,2.31
2020,1,1.93,1.29,0.79,0.12,0.07,0.08,3.93,5.48,6.7,2.47,0.3,0.62,1.35,0.64,3.14
2021,1,1.59,1.14,0.55,0.02,0.04,0.09,3.68,4.56,5.88,2.2,0.2,0.65,1.17,0.47,2.67
2022,1,1.99,1.53,0.67,0.11,0.06,0.1,4.13,5.43,6.97,2.54,0.29,0.56,1.32,0.73,3.33
2023,1,1.79,1.39,0.59,0.08,0.04,0.06,4.0,4.99,5.77,2.07,,0.67,1.18,0.69,2.59
2017,1,1.62,1.36,0.87,0.03,0.05,0.09,4.33,5.06,6.23,2.3,0.2,0.66,,0.52,3.09
2018,1,2.09,1.69,0.72,0.03,0.1,0.07,4.66,6.2,6.32,2.88,0.33,0.59,1.24,0.55,3.17
2019,1,2.18,1.75,0.93,0.14,0.09,0.09,4.54,6.3,7.05,2.72,,0.57,1.45,0.66,3.22
2020,1,2.1,1.62,0.75,0.05,0.09,0.07,4.18,6.4,6.12,2.5,0.27,0.64,1.43,0.61,3.01
2021,1,2.04,1.56,0.76,0.12,0.08,0.08,4.51,5.88,6.62,2.75,0.33,0.51,1.37,0.72,3.11
2022,1,2.05,1.72,0.9,0.14,0.08,0.09,4.88,6.68,7.48,2.83,0.5,0.59,1.37,0.64,3.34
2023,1,2.26,2.06,0.8,0.09,0.09,0.1,4.74,5.63,6.91,2.57,0.33,0.57,1.4,0.71,3.7
2017,0,1.07,0.63,0.37,-0.01,0.01,-0.01,1.86,3.76,3.8,1.4,-0.05,0.76,0.89,0.35,
2018,0,0.93,0.61,0.24,-0.02,0.01,0.01,2.07,3.73,3.71,1.0,-0.07,0.79,0.87,0.31,1.49
2019,0,1.21,0.69,0.25,#DIV/0!,0.0,0.01,2.96,3.61,4.09,1.75,0.04,0.76,0.93,0.35,1.55
2020,0,1.33,0.83,0.41,-0.01,-0.0,0.0,2.75,3.69,3.75,1.07,0.1,0.76,0.91,0.38,1.46
2021,0,1.52,1.04,0.53,0.04,0.05,0.07,3.41,5.34,5.74,1.95,0.05,0.69,1.07,0.48,2.15
2022,0,1.24,0.7,0.26,-0.0,-0.01,0.02,2.8,3.78,4.83,1.57,-0.01,0.78,0.94,0.37,1.42
2023,0,1.28,0.88,0.25,-0.02,-0.0,0.01,2.92,4.54,3.7,1.5,0.03,0.75,0.8,0.44,1.1
2017,1,1.73,1.21,0.58,0.04,0.05,0.05,4.12,5.13,5.58,2.26,0.34,0.63,1.16,0.51,2.78
2018,1,2.33,1.62,0.85,#DIV/0!,0.07,0.08,4.22,6.95,6.65,2.93,0.34,0.6,1.44,0.76,3.8
2019,1,1.96,1.69,0.75,0.07,0.05,0.07,4.29,6.39,6.05,2.51,0.32,0.64,1.32,0.63,3.39
2020,1,1.57,1.4,0.6,0.07,0.03,0.05,4.23,5.09,6.29,2.23,0.2,0.7,1.19,0.53,2.56
2021,1,1.88,1.45,0.69,0.09,0.09,0.1,4.73,6.13,6.14,2.6,0.34,0.58,1.32,0.63,2.83
2022,1,1.39,1.0,0.39,0.02,0.03,0.03,3.27,4.45,4.71,1.85,0.2,0.66,1.16,0.49,2.49
2023,1,2.0,1.46,0.59,0.11,0.07,0.08,4.54,5.4,6.28,2.42,0.26,0.58,1.34,0.62,3.16
2017,1,1.98,1.55,0.69,0.03,0.06,0.08,4.13,5.75,6.18,2.3,0.35,0.69,1.32,0.57,2.99
2018,1,2.08,1.55,0.72,#DIV/0!,0.07,0.06,3.89,5.52,6.0,2.33,0.28,0.63,1.08,0.55,3.07
2019,1,1.92,1.4,0.55,0.04,0.05,0.08,4.17,5.99,5.79,2.18,0.23,0.61,1.27,0.6,2.45
2020,1,1.96,1.58,0.71,0.09,0.09,0.07,4.35,5.73,6.31,2.41,0.37,0.62,1.27,0.64,2.94
2021,1,1.73,1.12,0.62,0.12,0.03,0.06,3.99,5.39,6.52,1.99,0.32,0.65,1.12,0.61,2.46
2022,1,1.58,1.18,0.43,0.04,0.03,0.06,3.13,4.72,5.17,,0.09,0.74,1.0,0.44,1.9
2023,1,1.53,1.25,0.56,#DIV/0!,0.04,0.09,3.44,5.11,5.34,1.95,0.18,0.66,1.2,0.5,2.13
